"Site Code","Site Name","Site Type","Site Category","Region","Status","Address","GIS Migrated","Floorplans","Location","Comments","Restricted","Freehold/Leasehold","Power Resilience"
"SNDTM1","Camberwell Way","Redstream",,"NORTH EAST","Normal","CAMBERWELL WAY
SUNDERLAND
TYNE AND WEAR
SR3 3XN","True","/:b:/r/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SNDTM1.pdf?csf=1&web=1&e=Jg3AGA","https://www.google.com/maps/place/54°51%2741.9%22N+1°25%2746.1%22W/@54.8616979,-1.4301842,288m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d54.8616361!4d-1.4294722","Data migrated to GIS","False","Leasehold","N only"
"CELL01","Cellerhead S/S EAM","Redstream",,"MIDLANDS","Normal","ROWNALL ROAD
STOKE-ON-TRENT
STAFFORDSHIRE
ST9 0BS","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CELL01.pdf?CT=1607352833126&OR=ItemsView","https://www.google.com/maps/place/53°02%2724.7%22N+2°05%2705.5%22W/@53.0402026,-2.0852551,151m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.0401889!4d-2.0848472","Data migrated to GIS","False","Leasehold","N only"
"LLDTE1","Centurion Way","Redstream","[""RA""]","North West","Normal","CENTURION WAY
LEYLAND
LANCASHIRE
PR26 6TZ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LLDTE1.pdf?CT=1607353444018&OR=ItemsView","https://www.google.com/maps/place/53%C2%B042'30.7%22N+2%C2%B041'55.1%22W/@53.7084777,-2.6995099,393m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.7085139!4d-2.6986417","Data migrated to GIS","False","Leasehold","N only"
"KNLTS1","Chancel Place","Redstream",,"NORTH WEST","Normal","CHANCEL PLACE
KENDAL
CUMBRIA
LA9 6NZ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/KNLTS1.pdf?CT=1613728854938&OR=ItemsView","https://www.google.com/maps/place/54°20%2739.3%22N+2°44%2712.9%22W/@54.3442069,-2.7373209,183m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d54.3442444!4d-2.7369222","Data migrated to GIS","False","Leasehold","N only"
"SOSTN1","Chandlers Way","Redstream",,"ANGLIA","Normal","CHANDLERS WAY
SOUTHEND ON SEA
ESSEX
SS2 5SE","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SOSTN1.pdf?CT=1607355120719&OR=ItemsView","https://www.google.com/maps/place/51°33%2744.5%22N+0°42%2729.5%22E/@51.5623821,0.7077233,227m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5623722!4d0.7082","Data migrated to GIS","False","Leasehold","N only"
"BTN","Cheapside","Redstream","[""RA""]","SOUTH","Normal","CHEAPSIDE
BRIGHTON
EAST SUSSEX
BN1 4GD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BTN.pdf?CT=1607355781858&OR=ItemsView","https://www.google.com/maps/place/50°49%2756.0%22N+0°08%2731.0%22W/@50.8321982,-0.1422372,159m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.8322111!4d-0.1419417","Data migrated to GIS","False","Leasehold","N only"
"RFDN11","Church Road","Redstream",,"LONDON","Normal","CHURCH ROAD
ROMFORD
ESSEX
RM3 0HU","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/RFDN11.pdf","https://www.google.com/maps/place/51°35%2745.5%22N+0°14%2724.5%22E/@51.5959644,0.2379477,614m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d51.5959611!4d0.2401417","Data migrated to GIS","False","Leasehold","N only"
"YRK","Cinder Lane","Redstream",,"NORTH EAST","Normal","CINDER LANE
YORK
NORTH YORKSHIRE
YO26 4XJ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/YRK.pdf?CT=1607356693731&OR=ItemsView","https://www.google.com/maps/place/53%C2%B057'25.0%22N+1%C2%B005'45.5%22W/@53.9569266,-1.0962192,186m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.9569528!4d-1.0959694","Data migrated to GIS","False","Leasehold","N only"
"DNDTC1","Claverhouse","Redstream",,"SCOTLAND","Normal","EMMOCK ROAD
DUNDEE
ANGUS
DD4 9FF","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DNDTC1.pdf?CT=1607357394643&OR=ItemsView","https://www.google.com/maps/place/56°29%2737.7%22N+2°56%2759.2%22W/@56.4937712,-2.9499881,102m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d56.4938!4d-2.9497861","Data migrated to GIS","False","Leasehold","N only"
"DLNTC1","Cleveland Trading Estate","Redstream",,"NORTH EAST","Normal","CLEVELAND TRADING ESTATE
DARLINGTON
COUNTY DURHAM
DL1 2PB","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DLNTC1.pdf?CT=1607357765260&OR=ItemsView","https://www.google.com/maps/place/54°32%2709.2%22N+1°32%2748.2%22W/@54.5358322,-1.5467985,230m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d54.5358778!4d-1.5467333","Data migrated to GIS","False","Leasehold","N only"
"CAMN41","Clifton Road","Redstream",,"ANGLIA","Normal","CLIFTON ROAD
CAMBRIDGE
CAMBRIDGESHIRE
CB1 7ED","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CAMN41.pdf?CT=1607432450871&OR=ItemsView","https://www.google.com/maps/place/52°11%2735.8%22N+0°08%2722.9%22E/@52.1932849,0.1393657,243m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.1932861!4d0.1396944","Data migrated to GIS","False","Leasehold","N only"
"DCT","Cow Lane","Redstream",,"THAMES VALLEY","Normal","COW LANE
DIDCOT
OXFORDHSIRE
OX11 7SZ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DCT.pdf?CT=1607432809638&OR=ItemsView","https://www.google.com/maps/place/51%C2%B036'38.4%22N+1%C2%B014'22.0%22W/@51.6106399,-1.2397132,166m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.6106694!4d-1.2394333","Data migrated to GIS","False","Leasehold","N only"
"COWL02","Cowley S/S EAM","Redstream",,"THAMES VALLEY","Normal","BLACKBERRY LANE OFF WATLINGTON ROAD
OXFORD
OXFORDSHIRE
OX4 9BD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/COWL02.pdf?CT=1607433277531&OR=ItemsView","https://www.google.com/maps/place/51%C2%B042'40.0%22N+1%C2%B011'18.4%22W/@51.711124,-1.1887666,196m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.7111056!4d-1.1884528","Data migrated to GIS","False","Leasehold","N only"
"INVN41","Cromwell Buildings","Redstream","[""RA""]","SCOTLAND","Normal","LOTLAND STREET
INVERNESS
INVERNESS-SHIRE
IV1 1YL","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/INVN41.pdf?CT=1607434076281&OR=ItemsView","https://www.google.com/maps/place/57°29%2715.2%22N+4°13%2737.7%22W/@57.487461,-4.227585,167m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d57.4875472!4d-4.2271361","Data migrated to GIS","False","Leasehold","N only"
"CKNN03","Cropmead Trading Estate","Redstream","[""Amitie""]","SOUTH WEST","Normal","CROPMEAD TRADING ESTATE
CREWKERNE
SOMERSET
TA18 7HQ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CKNN03.pdf?CT=1607436121978&OR=ItemsView","https://www.google.com/maps/place/50°53%2700.9%22N+2°47%2716.9%22W/@50.8836424,-2.7889237,397m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.8835889!4d-2.7880389","Data migrated to GIS","False","Freehold","N+N (Full A&B)"
"TNTTN1","Crown Industrial Estate","Redstream","[""Amitie""]","SOUTH WEST","Normal","CROWN INDUSTRIAL ESTATE
TAUNTON
SOMERSET
TA2 8QY","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/TNTTN1_TNTN02.pdf?CT=1607436574620&OR=ItemsView","https://www.google.com/maps/place/51°01%2740.2%22N+3°04%2746.4%22W/@51.0278995,-3.0802343,314m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.0278361!4d-3.0795639","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"RCR","Cuxton Road","Redstream","[""RA""]","SOUTH EAST","Normal","CUXTON ROAD
ROCHESTER
KENT
ME2 2BT","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/RCR.pdf?CT=1607436904906&OR=ItemsView","https://www.google.com/maps/place/51°23%2744.6%22N+0°29%2724.9%22E/@51.3958335,0.4900124,198m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.3957333!4d0.4902528","Data migrated to GIS","False","Leasehold","N only"
"GFDCD1","Deaconfield Industrial Estate","Redstream","[""RA""]","SOUTH","Normal","UNIT 8, DEACON FIELD IND EST
GUILDFORD
SURREY
GU2 8YT","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/GFDCD1.pdf","https://www.google.com/maps/place/51°14%2743.4%22N+0°35%2733.6%22W/@51.2453977,-0.5948662,619m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d51.2453944!4d-0.5926722","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"DKTN08","Dock Street","Redstream","[""RA""]","LONDON","Normal","DOCK STREET
LONDON
LONDON
E1 8NA","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DKTN08.pdf?CT=1607610389814&OR=ItemsView","https://www.google.com/maps/place/51°30%2733.5%22N+0°04%2706.1%22W/@51.5092976,-0.0689909,354m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5093139!4d-0.0683472","Data migrated to GIS","False","Leasehold","N only"
"MDBTD1","Drake Court","Redstream",,"NORTH EAST","Normal","DRAKE COURT
MIDDLESBROUGH
CLEVELAND
TS2 1RS","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/MDBTD1.pdf?CT=1607438533691&OR=ItemsView","https://www.google.com/maps/place/54°34%2753.9%22N+1°15%2711.9%22W/@54.5816309,-1.2555051,573m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d54.5816278!4d-1.2533111","Data migrated to GIS","False","Leasehold","N only"
"DNFNP1","Dunfermline Pitreavie EAM","Redstream",,"SCOTLAND","Normal","QUEENSFERRY ROAD
DUNFERMLINE
FIFE
KY11 8PU","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DNFNP1.pdf?CT=1607412671802&OR=ItemsView","https://www.google.com/maps/place/56%C2%B002'56.9%22N+3%C2%B026'14.6%22W/@56.0491431,-3.4375473,163m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d56.049125!4d-3.4373889","Data Migrated to GIS","False","Leasehold","N only"
"DHMNU1","Durham University","Redstream",,"NORTH EAST","Normal","STOCKTON ROAD
DURHAM
DURHAM
DH1 3LE","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DHMNU1.pdf?CT=1607413450971&OR=ItemsView","https://www.google.com/maps/place/54°46%2700.0%22N+1°34%2718.5%22W/@54.7667847,-1.5720104,149m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d54.7666722!4d-1.5717917","Data Migrated to GIS","False","Leasehold","N only"
"BFEC01","East Central","Redstream","[""RA""]","NORTHERN IRELAND","Normal","GLOUCESTER STREET
BELFAST

BT1 4LS","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BFEC01.pdf?CT=1607413993837&OR=ItemsView","https://www.google.com/maps/place/54°35%2747.3%22N+5°55%2733.1%22W/@54.5964055,-5.926408,230m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d54.5964722!4d-5.9258556","Data migrated to GIS","False","Leasehold","N only"
"EBCTC1","Eccles-by-Coldstream EAM","Redstream",,"NORTH EAST","Normal","COLDSTREAM ROAD
ECCLES BY COLDSTREAM
BERWICKSHIRE
TD12 4LX","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/EBCTC1.pdf?CT=1607414471223&OR=ItemsView","https://www.google.com/maps/place/55°40%2705.2%22N+2°19%2734.1%22W/@55.6680692,-2.3270462,287m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.6681222!4d-2.32615","Data migrated to GIS","False","Leasehold","N only"
"EDBTG1","Edinburgh - South Gyle","Redstream","[""PX"",""RA"",""OpX""]","SCOTLAND","Normal","Unit 4/5, CLOCKTOWER ESTATE
EDINBURGH
MIDLOTHIAN
EH12 9EB","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/EDBTG1.pdf?CT=1607690871478&OR=ItemsView","https://www.google.com/maps/place/55°55%2745.5%22N+3°17%2742.5%22W/@55.9292338,-3.2955496,309m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.9292944!4d-3.2951306","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"BHWCN1","Elstree Gate","Redstream",,"LONDON","Normal","ELSTREE GATE
BOREHAMWOOD
HERTFORDSHIRE
WD6 1JS","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BHWCN1.pdf?CT=1607414945961&OR=ItemsView","https://www.google.com/maps/place/51°39%2731.9%22N+0°15%2723.3%22W/@51.6588598,-0.2570412,153m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.6588611!4d-0.2564722","Data migrated to GIS","False","Leasehold","N only"
"CAMN02","Ely Road","Redstream",,"ANGLIA","Normal","ELY ROAD
CAMBRIDGE
CAMBRIDGESHIRE
CB24 6UB","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CAMN02.pdf?CT=1607415423842&OR=ItemsView","https://www.google.com/maps/place/52%C2%B014'41.8%22N+0%C2%B010'12.0%22E/@52.2449413,0.1698746,123m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.2449472!4d0.1699972","Data migrated to GIS","False","Leasehold","N only"
"EVMN01","Evesham","Redstream",,"MIDLANDS","Normal","ENTERPRISE WAY
EVESHAM
WORCESTERSHIRE
WR11 1GS","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/EVMN01.pdf?CT=1607415912061&OR=ItemsView","https://www.google.com/maps/place/52°04%2719.8%22N+1°56%2704.1%22W/@52.0720394,-1.9349262,194m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.0721667!4d-1.9344694","Data migrated to GIS","False","Leasehold","N only"
"EXR & EXRN03","Exeter","Redstream","[""Amitie""]","SOUTH WEST","Normal","OTTER COURT
EXETER
DEVON
EX2 8PF","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/EXR_EXRN03.pdf","https://www.google.com/maps/place/50°41%2752.4%22N+3°31%2734.5%22W/@50.6976395,-3.5265896,252m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.6978833!4d-3.5262472","Data migrated to GIS","False","Leasehold","Mixed (Both N & N+N)"
"THOTC1","Farice Cable Landing","Redstream",,"SCOTTISH HIGHLANDS & ISLANDS","Normal","OFF B836
THURSO
ORKNEY
KW14 8UB","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/THOTC1.pdf?CT=1607416914207&OR=ItemsView","https://www.google.com/maps/place/58°35%2724.9%22N+3°22%2728.1%22W/@58.5902347,-3.3753626,265m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d58.5902611!4d-3.3744667","Data migrated to GIS","False","Leasehold","N only"
"IPWTN1","Farthing Road","Redstream","[""RA""]","ANGLIA","Normal","FARTHING ROAD
IPSWICH
SUFFOLK
IP1 5AP","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/IPWTN1.pdf?CT=1607417482733&OR=ItemsView","https://www.google.com/maps/place/52°03%2759.5%22N+1°06%2750.4%22E/@52.0664522,1.1135854,245m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.0665278!4d1.1139889","Data migrated to GIS","False","Leasehold","N only"
"FLNTT1","Felton EAM","Redstream",,"NORTH EAST","Normal","
FELTON
NORTHUMBERLAND
NE65 9QD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/FLNTT1.pdf?CT=1607442057542&OR=ItemsView","https://www.google.com/maps/place/55°16%2751.8%22N+1°43%2729.1%22W/@55.2809641,-1.7249965,145m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.2810583!4d-1.7247361","Data migrated to GIS","False","Leasehold","N only"
"FTATA1","Fort Augustus S/S co-lo","Redstream",,"SCOTLAND","Normal","
FORT AUGUSTUS
INVERNESS SHIRE
PH32 4BT","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/FTATA1.pdf?CT=1613732170585&OR=ItemsView","https://www.google.com/maps/place/57%C2%B008'13.7%22N+4%C2%B043'08.1%22W/@57.1371529,-4.7211051,537m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d57.13715!4d-4.7189111","Data migrated to GIS","False","Leasehold","N only"
"ASH","Fosters Road","Redstream",,"SOUTH EAST","Normal","FOSTER ROAD
ASHFORD
KENT
TN24 0SJ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/ASH.pdf?CT=1607442720222&OR=ItemsView","https://www.google.com/maps/place/51°07%2756.2%22N+0°54%2712.2%22E/@51.1322752,0.9026255,313m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.1322667!4d0.9034","Data migrated to GIS","False","Leasehold","N only"
"WVHTF1","Fryer Street","Redstream","[""RA""]","MIDLANDS","Normal","FRYER STRET
WOLVERHAMPTON
WEST MIDLANDS
WV1 1HT","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/WVHTF1.pdf?CT=1607443296835&OR=ItemsView","https://www.google.com/maps/place/52%C2%B035'14.6%22N+2%C2%B007'22.9%22W/@52.5873699,-2.1237028,220m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.5873806!4d-2.1230389","Data migrated to GIS","False","Leasehold","N only"
"CTNN01","Garris Court","Redstream","[""Amitie""]","SOUTH WEST","Normal","GARRIS COURT
CREDITON
DEVON
EX17 1DN","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CTNN01.pdf?CT=1607443971583&OR=ItemsView","https://www.google.com/maps/place/50°47%2729.8%22N+3°38%2717.9%22W/@50.7916355,-3.6392226,251m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.7916194!4d-3.6383083","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"GWK","Gatwick","Redstream",,"SOUTH EAST","Normal","GATWICK AIRPORT
CRAWLEY
SURREY
RH6 0NP","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/GWK.pdf","https://www.google.com/maps/place/51%C2%B009'24.6%22N+0%C2%B009'41.9%22W/@51.1568309,-0.1621949,310m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.1568333!4d-0.1616389","Data migrated to GIS","False","Leasehold","N only"
"LSWN01","Global Switch 1","Redstream",,"LONDON","Normal","EAST INDIA DOCK ROAD
LONDON
MIDDLESEX
E14 9YY","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LSWN01.pdf?CT=1607505718237&OR=ItemsView","https://www.google.com/maps/place/51%C2%B030'40.1%22N+0%C2%B000'22.0%22W/@51.5111846,-0.0068084,309m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.5111444!4d-0.0061056","Data migrated to GIS","False","Leasehold","N only"
"CBY","Gordon Road","Redstream",,"SOUTH EAST","Normal","GORDON ROAD
CANTERBURY
KENT
CT1 3PP","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/CBY.pdf?CT=1607506486286&OR=ItemsView","https://www.google.com/maps/place/51%C2%B016'24.9%22N+1%C2%B004'35.3%22E/@51.2736084,1.0759082,249m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.2735778!4d1.0764639","Data migrated to GIS","False","Leasehold","N only"
"LDSN14","Gotts Road DC","Redstream",,"NORTH EAST","Normal","GOTTS ROAD
LEEDS
WEST YORKSHIRE
LS12 1AD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LDSN14%26LDSN15.pdf?CT=1607507057551&OR=ItemsView","https://www.google.com/maps/place/53°47%2744.2%22N+1°33%2744.7%22W/@53.7955189,-1.5627851,293m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.7956083!4d-1.562425","Data migrated to GIS","False","Leasehold","N only"
"LDSN15","Gotts Road DC","Redstream",,"NORTH EAST","Normal","GOTTS ROAD
LEEDS
WEST YORKSHIRE
LS12 1AD","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LDSN14%26LDSN15.pdf?CT=1607507057551&OR=ItemsView","https://www.google.com/maps/place/53°47%2744.2%22N+1°33%2744.7%22W/@53.7955189,-1.5627851,293m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.7956083!4d-1.562425","Data migrated to GIS","False","Leasehold","N only"
"LIVN01","Grange Road","Redstream",,"SCOTLAND","Normal","GRANGE ROAD
LIVINGSTON
WEST LOTHIAN
EH54 5DE","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/LIVN01.pdf?CT=1607420777725&OR=ItemsView","https://www.google.com/maps/place/55°54%2720.4%22N+3°29%2759.5%22W/@55.9056642,-3.5003956,223m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d55.9056611!4d-3.4998583","Data migrated to GIS","False","Leasehold","N only"
"BMGV03","Gravelly Industrial Estate","Redstream",,"MIDLANDS","Normal","JARVIS WAY
BIRMINGHAM
WEST MIDLANDS
B24 8TQ","False","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BMGV03.pdf?CT=1607423343204&OR=ItemsView","https://www.google.com/maps/place/52°30%2715.3%22N+1°50%2759.3%22W/@52.5042064,-1.8503255,304m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.50425!4d-1.8498056",,"False","Leasehold","N only"
"DONTN1","Gresley House","Redstream",,"NORTH EAST","Normal","GRESLEY HOUSE
DONCASTER
SOUTH YORKSHIRE
DN1 1PB","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/DONTN1.pdf?CT=1607421956979&OR=ItemsView","https://www.google.com/maps/place/53%C2%B031'29.5%22N+1%C2%B008'26.8%22W/@53.5248212,-1.1415589,296m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d53.5248722!4d-1.140775","Data migrated to GIS","False","Leasehold","N only"
"BYR","Grey Abbots Road","Redstream",,"NORTHERN IRELAND","Normal","GREY ABBEY ROAD
BALLYWALTER
DOWN
BT22 2NY","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/BYR.pdf?CT=1607422429503&OR=ItemsView","https://www.google.com/maps/place/54°32%2733.1%22N+5°29%2706.1%22W/@54.5423884,-5.4853519,168m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d54.5425333!4d-5.485025","Data migrated to GIS","False","Freehold","N only"
"NRWTN1","Hall Road","Redstream",,"ANGLIA","Normal","HALL ROAD
NORWICH
NORFOLK
NR4 6DG","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/NRWTN1.pdf?CT=1607422900516&OR=ItemsView","https://www.google.com/maps/place/52°36%2711.4%22N+1°17%2706.1%22E/@52.603136,1.2845672,256m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.6031722!4d1.2850278","Data migrated to GIS","False","Leasehold","N only"
"OKNN01","Hameldown Road","Redstream","[""RA"",""Amitie""]","SOUTH WEST","Normal","HAMELDOWN ROAD
OKEHAMPTON
DEVON
EX20 1UB","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/OKNN01.pdf?CT=1607500024709&OR=ItemsView","https://www.google.com/maps/place/50°44%2728.5%22N+3°58%2746.3%22W/@50.7412476,-3.9796524,156m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.7412417!4d-3.9795194","Data migrated to GIS","False","Leasehold","N+N (Full A&B)"
"TRON01","Harvey Road","Redstream",,"SOUTH WEST","Normal","HARVEY ROAD
TRURO
CORNWALL
TR1 2XW","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/TRON01.pdf?CT=1607500603296&OR=ItemsView","https://www.google.com/maps/place/50%C2%B015'19.8%22N+5%C2%B002'48.8%22W/@50.2554718,-5.0471919,158m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d50.2554944!4d-5.0468806","Data migrated to GIS","False","Leasehold","N only"
"HRWN02","Heathrow","Redstream","[""RA""]","LONDON","Normal","SANCTUARY ROAD
HOUNSLOW
MIDDLESEX
TW6 3JF","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/HRWN02.pdf?CT=1607502922851&OR=ItemsView","https://www.google.com/maps/place/51°27%2722.3%22N+0°27%2724.7%22W/@51.4560876,-0.4570588,154m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d51.4561917!4d-0.4568667","Data migrated to GIS","False","Leasehold","N only"
"NRWN51","Hellesdon Park Road","Redstream","[""RA""]","ANGLIA","Normal","HELLESDON PARK ROAD
NORWICH
NORFOLK
NR6 5DR","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/NRWN51.pdf?CT=1607503393048&OR=ItemsView","https://www.google.com/maps/place/52%C2%B039'07.0%22N+1%C2%B015'17.5%22E/@52.6519115,1.2545027,150m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.6519472!4d1.2548583","Data Migrated to GIS","False","Leasehold","N only"
"SOLN02","Highlands Road","Redstream",,"MIDLANDS","Normal","HIGHLANDS ROAD
SOLIHULL
WEST MIDLANDS
B90 4NZ","True","/sites/InfrastructureDeliveryPublic/Shared%20Documents/General/Floorplans/Network/SOLN02.pdf?CT=1607503928993&OR=ItemsView","https://www.google.com/maps/place/52°23%2749.8%22N+1°47%2754.5%22W/@52.3970778,-1.7993418,302m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d52.3971583!4d-1.7984778","Data migrated to GIS","False","Leasehold","N only"
